GDP,CPI,TAMIT,RS,HS,PPI,MTIS,U,MS,PI
1600.0,-0.1,1000.0,450.0,1.09,-0.4,1279.0,6.0,997.0,275.0
1667.14,-0.07,1000.0,469.38,1.0,-0.36,1296.55,6.1,1028.35,254.73
1628.68,-0.12,1000.02,452.43,1.07,-0.32,1275.34,5.82,1032.51,240.07
1562.13,-0.14,1000.02,427.05,1.2,-0.35,1394.1,5.63,1009.01,236.67
1579.57,-0.13,1000.03,452.96,1.24,-0.32,1268.03,5.71,930.86,264.19
1630.67,-0.13,1000.02,448.06,1.38,-0.34,1217.46,4.99,941.66,250.97
1624.1,-0.14,1000.01,419.11,1.31,-0.41,1280.0,4.94,942.29,246.25
1635.05,-0.15,1000.01,416.15,1.25,-0.38,1345.18,4.58,938.04,253.43
1660.4,-0.17,999.99,448.67,1.21,-0.38,1248.42,4.1,974.97,246.51
1662.52,-0.12,999.97,474.37,1.06,-0.34,1236.35,4.24,985.41,239.05
1689.01,-0.09,999.99,487.31,1.01,-0.29,1252.81,4.69,985.25,239.54
1736.13,-0.12,999.98,501.39,1.23,-0.4,1240.54,4.48,1042.25,253.78
1732.2,-0.07,1000.04,486.87,1.14,-0.35,1220.88,4.15,1019.03,267.8
1741.56,-0.07,1000.04,488.1,1.13,-0.37,1280.68,4.06,1010.59,289.73
1764.28,-0.08,1000.04,487.71,1.09,-0.42,1332.28,3.96,1013.79,305.87
1692.13,-0.11,1000.03,511.14,1.06,-0.45,1347.14,4.21,1014.65,306.87
1659.18,-0.11,1000.03,471.9,1.11,-0.41,1292.31,4.37,964.63,298.12
1706.67,-0.13,1000.04,472.3,1.08,-0.36,1239.79,4.2,913.08,312.68
1720.52,-0.08,1000.03,492.37,1.09,-0.4,1235.39,5.01,925.35,309.54
1754.16,-0.09,999.99,496.17,1.21,-0.4,1315.01,4.93,893.45,301.83
1710.01,-0.05,1000.0,511.52,1.21,-0.5,1293.57,4.64,915.26,313.48
1693.47,0.05,1000.0,499.15,1.35,-0.53,1280.03,5.23,929.96,296.4
1636.54,0.03,1000.0,522.95,1.48,-0.6,1350.31,5.07,901.97,297.05
1624.52,0.03,1000.02,513.35,1.47,-0.57,1373.08,5.14,935.47,297.89
1565.66,0.02,1000.02,489.55,1.48,-0.53,1382.15,5.69,955.04,280.28
1501.11,0.03,1000.01,480.72,1.24,-0.53,1444.74,5.28,910.35,290.14
1517.76,0.03,1000.06,492.0,1.36,-0.52,1437.0,4.98,928.5,271.8
1561.51,-0.02,1000.07,457.78,1.32,-0.51,1473.02,5.35,944.72,271.61
1518.85,-0.06,1000.07,468.44,1.14,-0.5,1500.24,4.68,933.98,261.89
1463.96,-0.12,1000.08,442.12,1.18,-0.52,1466.49,5.38,938.01,247.14
1448.71,-0.15,1000.06,418.96,1.01,-0.4,1378.28,5.62,945.6,252.89
1408.85,-0.09,1000.09,426.26,1.01,-0.33,1396.81,5.19,977.88,265.24
1396.66,-0.13,1000.08,424.06,1.01,-0.31,1375.92,5.14,965.93,267.04
1485.33,-0.13,1000.07,438.27,0.96,-0.27,1340.9,5.2,998.85,283.75
1493.13,-0.09,1000.08,411.1,1.09,-0.29,1318.52,5.27,1031.92,296.08
1479.15,-0.13,1000.11,434.3,1.22,-0.3,1283.88,5.2,1059.17,286.9
1531.72,-0.18,1000.12,392.77,1.04,-0.27,1232.86,6.41,1026.05,296.51
1491.87,-0.16,1000.11,421.2,1.08,-0.36,1185.6,6.53,1027.15,316.16
1390.64,-0.14,1000.11,443.9,1.07,-0.39,1207.81,6.42,1038.22,298.01
1418.12,-0.18,1000.11,453.3,1.0,-0.44,1161.73,6.19,1021.48,322.34
1409.74,-0.19,1000.1,445.24,1.0,-0.39,1202.97,6.15,1010.37,313.95
1400.21,-0.14,1000.08,437.32,1.01,-0.4,1197.38,6.27,1042.11,334.94
1359.34,-0.18,1000.07,435.78,0.93,-0.43,1246.96,6.09,1069.22,336.65
1343.19,-0.2,1000.07,412.9,1.01,-0.42,1206.76,5.95,1052.44,337.4
1420.98,-0.22,1000.06,418.62,1.11,-0.38,1225.07,4.88,1058.49,354.94
1442.97,-0.29,1000.01,428.4,0.93,-0.47,1275.88,4.99,1063.77,352.38
1500.63,-0.25,1000.02,433.04,0.96,-0.46,1237.98,3.98,1077.38,339.0
1570.36,-0.15,999.93,468.69,0.97,-0.44,1275.91,5.28,1076.57,341.35
1631.02,-0.1,999.82,396.92,1.05,-0.43,1251.08,5.17,1097.75,344.31
1586.56,-0.16,999.87,405.47,1.12,-0.44,1250.76,5.08,1110.65,350.75
1529.27,-0.15,999.87,431.29,0.94,-0.4,1213.65,5.27,1131.24,322.41
1510.48,-0.14,999.91,441.24,1.03,-0.43,1165.12,5.33,1122.25,327.09
1509.96,-0.11,999.91,468.29,1.12,-0.41,1164.59,5.49,1105.07,343.15
1503.49,-0.23,999.92,468.55,1.18,-0.56,1167.73,4.98,1071.93,355.43
1513.65,-0.21,999.89,446.58,0.88,-0.54,1094.29,5.49,1039.41,342.24
1536.21,-0.2,999.99,448.71,0.91,-0.7,1081.33,5.75,1002.57,316.58
1579.46,-0.15,999.97,459.75,1.01,-0.76,1084.44,5.94,964.32,309.23
1577.32,-0.13,999.98,453.83,1.09,-0.73,1122.91,7.07,962.98,303.52
1508.33,-0.13,999.94,453.14,1.18,-0.74,1172.62,6.45,989.0,317.15
1525.89,-0.13,999.94,440.22,1.13,-0.62,1189.23,5.89,965.16,327.39
1532.12,-0.15,999.93,443.55,1.05,-0.6,1149.16,5.26,999.83,339.55
1545.62,-0.16,999.91,438.96,1.12,-0.62,1129.46,5.91,1006.27,328.11
1644.71,-0.2,999.88,461.23,0.99,-0.56,1096.7,6.72,974.7,331.89
1688.31,-0.18,999.88,471.21,1.04,-0.6,1115.72,6.16,992.92,369.67
1754.91,-0.25,999.86,461.22,1.05,-0.62,1147.53,6.69,948.41,350.79
1694.18,-0.24,999.82,468.76,0.84,-0.57,1219.13,6.95,982.49,322.79
1686.71,-0.28,999.87,456.84,0.85,-0.59,1176.22,7.94,1024.95,324.6
1753.75,-0.27,999.81,451.76,0.68,-0.55,1177.63,8.11,1055.74,316.52
1800.57,-0.28,999.87,421.17,0.91,-0.54,1256.17,7.36,1070.24,323.59
1757.59,-0.23,999.97,404.49,1.03,-0.51,1275.69,6.91,1047.75,312.14
1727.5,-0.18,999.96,423.9,0.98,-0.54,1304.29,6.9,1026.54,299.67
1804.42,-0.26,999.95,415.5,1.06,-0.44,1335.61,5.69,1059.14,282.03
1833.45,-0.36,999.89,386.4,1.17,-0.44,1277.96,5.12,1045.92,272.23
1798.39,-0.27,999.83,383.56,1.14,-0.44,1294.48,5.54,1057.7,280.24
